id_siswa,usia,jenis_kelamin,jurusan,ipk,beban_mata_kuliah,rata_rata_nilai_mata_kuliah,tingkat_kehadiran,status_studi,login_lms_bulan_lalu,rata_rata_durasi_sesi_menit,tingkat_pengumpulan_tugas,jumlah_partisipasi_forum,tingkat_penyelesaian_video,tingkat_risiko
S001,24,Lainnya,Ilmu Komputer,2.42,5,67.2,0.71,Lulus,32,33,0.7,8,0.74,Tinggi
S002,21,Laki-laki,Seni,3.73,6,64.4,0.84,Cuti,29,53,0.91,13,0.85,Sedang
S003,22,Laki-laki,Ilmu Komputer,2.8,3,95.3,0.89,Lulus,34,69,0.58,18,0.99,Sedang
S004,24,Laki-laki,Seni,2.59,4,73.7,0.98,Lulus,22,18,0.91,6,0.72,Sedang
S005,20,Lainnya,Ilmu Komputer,2.3,4,87.4,0.95,Aktif,9,11,0.77,15,0.76,Tinggi
S006,25,Laki-laki,Teknik,2.53,4,61.0,0.81,Aktif,18,65,0.61,19,0.76,Sedang
S007,22,Perempuan,Teknik,2.04,3,87.6,0.91,Aktif,27,39,0.7,4,0.77,Tinggi
S008,22,Lainnya,Ilmu Komputer,3.17,4,72.6,0.82,Aktif,22,31,0.99,9,0.76,Sedang
S009,24,Lainnya,Ilmu Komputer,3.68,6,62.2,0.82,Aktif,3,84,0.89,17,0.5,Sedang
S010,19,Lainnya,Teknik,3.1,4,84.4,0.65,Aktif,19,22,0.79,10,0.5,Tinggi
S011,20,Lainnya,Seni,2.44,4,69.6,0.65,Cuti,18,80,0.56,6,0.55,Tinggi
S012,24,Perempuan,Teknik,2.07,6,75.5,0.81,Aktif,26,25,0.71,13,0.55,Tinggi
S013,20,Lainnya,Seni,2.43,4,63.2,0.71,Lulus,33,54,0.63,19,0.85,Tinggi
S014,20,Lainnya,Ilmu Komputer,2.83,6,65.9,0.61,Cuti,3,74,0.54,17,0.6,Tinggi
S015,25,Laki-laki,Ilmu Komputer,3.52,4,71.9,0.89,Lulus,37,20,0.77,10,0.95,Rendah
S016,22,Lainnya,Seni,2.38,6,63.6,0.61,Aktif,6,79,0.94,11,0.96,Tinggi
S017,21,Perempuan,Ilmu Komputer,3.44,4,96.4,0.84,Aktif,6,29,0.84,17,0.99,Sedang
S018,25,Perempuan,Seni,3.73,6,60.2,0.82,Lulus,25,72,0.62,1,0.97,Sedang
S019,25,Perempuan,Bisnis,2.91,3,79.4,0.99,Lulus,25,21,0.79,0,0.64,Sedang
S020,20,Perempuan,Teknik,3.64,6,64.9,0.79,Lulus,18,71,0.97,9,0.75,Sedang
