run,random_state,accuracy,precision_macro,recall_macro,f1_macro
1,42,1.0,1.0,1.0,1.0
2,43,0.9967637540453075,0.9963768115942028,0.9941520467836257,0.9952286538678531
3,44,1.0,1.0,1.0,1.0
4,45,1.0,1.0,1.0,1.0
5,46,1.0,1.0,1.0,1.0
6,47,0.9967637540453075,0.9942528735632185,0.9963369963369964,0.9952598286492114
7,48,1.0,1.0,1.0,1.0
8,49,1.0,1.0,1.0,1.0
9,50,0.9902912621359223,0.9939024390243901,0.989010989010989,0.9913364847443059
10,51,1.0,1.0,1.0,1.0
11,52,1.0,1.0,1.0,1.0
12,53,0.9967637540453075,0.9963768115942028,0.9979296066252589,0.9971400847760584
13,54,1.0,1.0,1.0,1.0
14,55,1.0,1.0,1.0,1.0
15,56,1.0,1.0,1.0,1.0
16,57,1.0,1.0,1.0,1.0
17,58,1.0,1.0,1.0,1.0
18,59,0.9967637540453075,0.9963768115942028,0.9979296066252589,0.9971400847760584
19,60,1.0,1.0,1.0,1.0
20,61,1.0,1.0,1.0,1.0
21,62,1.0,1.0,1.0,1.0
22,63,1.0,1.0,1.0,1.0
23,64,1.0,1.0,1.0,1.0
24,65,1.0,1.0,1.0,1.0
25,66,1.0,1.0,1.0,1.0
26,67,1.0,1.0,1.0,1.0
27,68,1.0,1.0,1.0,1.0
28,69,1.0,1.0,1.0,1.0
29,70,1.0,1.0,1.0,1.0
30,71,1.0,1.0,1.0,1.0
